Rank,Surname,Incidence,Frequency
946,da Silva Oliveira,"10,922","1:19,600"
947,Mamede,"10,851","1:19,729"
948,Dias da Silva,"10,841","1:19,747"
949,Nolasco,"10,822","1:19,781"
950,Rosa de Jesus,"10,817","1:19,791"
951,Rabello,"10,813","1:19,798"
952,Catarino,"10,809","1:19,805"
953,Negreiros,"10,805","1:19,813"
954,Natividade,"10,791","1:19,838"
955,Rebelo,"10,756","1:19,903"
956,António,"10,752","1:19,910"
957,Calisto,"10,733","1:19,945"
958,Terto,"10,699","1:20,009"
959,Joaquim,"10,684","1:20,037"
960,Manhaes,"10,663","1:20,076"
961,da Silva Pereira,"10,652","1:20,097"
962,Schulz,"10,639","1:20,122"
963,Paranhos,"10,630","1:20,139"
964,Lucio,"10,611","1:20,175"
965,de Lourdes Alves,"10,591","1:20,213"
966,da Aparecida,"10,585","1:20,224"
967,Bacelar,"10,582","1:20,230"
968,Bernardino,"10,573","1:20,247"
969,Mendonça,"10,550","1:20,291"
970,Rosa dos Santos,"10,548","1:20,295"
971,Pompeu,"10,545","1:20,301"
972,Alves de Sousa,"10,535","1:20,320"
973,do Amparo,"10,503","1:20,382"
974,Schultz,"10,499","1:20,390"
975,do Monte,"10,496","1:20,396"
976,Umbelino,"10,476","1:20,435"
977,Carreiro,"10,468","1:20,450"
978,de Ribamar,"10,462","1:20,462"
979,Negrao,"10,452","1:20,482"
980,Barreira,"10,449","1:20,488"
981,Germano,"10,445","1:20,495"
982,de Luna,"10,395","1:20,594"
983,Britto,"10,376","1:20,632"
984,Belchior,"10,371","1:20,642"
985,Vilas,"10,370","1:20,644"
986,da Conceicao Pereira,"10,360","1:20,664"
987,Quintanilha,"10,343","1:20,698"
988,Vitor,"10,337","1:20,710"
989,Ruas,"10,320","1:20,744"
990,Pacifico,"10,312","1:20,760"
991,Henrique Vieira,"10,305","1:20,774"
992,Alves de Lima,"10,304","1:20,776"
993,Henrique Lopes,"10,264","1:20,857"
994,Gonzales,"10,226","1:20,934"
995,do Carmo da Silva,"10,203","1:20,982"
996,Portella,"10,197","1:20,994"
997,Watanabe,"10,191","1:21,006"
998,Calado,"10,173","1:21,043"
999,Lima da Silva,"10,151","1:21,089"
1000,Carolino,"10,145","1:21,101"
1000,Viturino,"10,145","1:21,101"
